id,features,label
S001,0.375 0.3 0.3333333333333333 0.22388059701492538 0.8888888888888892,cat
S002,0.48214285714285715 0.5 0.5555555555555555 0.373134328358209 0.9523809523809527,dog
S003,0.17857142857142858 0.56 0.11111111111111119 0.1492537313432836 0.4444444444444445,
S004,0.6785714285714286 0.9 0.7777777777777776 0.5970149253731344 0.6666666666666667,bird
S005,1 0.6 0.8888888888888888 0.9701492537313434 0.31746031746031755,cat
S006,0.03571428571428571 0.1 0.22222222222222227 0.07462686567164183 0.25396825396825395,
S007,0.875 0.56 0.6666666666666666 0.8208955223880597 0.7936507936507937,fox
S008,0.5714285714285714 0.76 0.44444444444444453 0.2686567164179105 0.5396825396825398,dog
S009,0.23214285714285715 0.24 0.27777777777777773 0.17910447761194034 0.3968253968253968,
S010,0.7142857142857143 0.96 1 0.7014925373134329 0.9206349206349209,bird
S011,0.2857142857142857 0.4 0.38888888888888895 0.2985074626865672 0.634920634920635,cat
S012,0.8928571428571429 0.8 0.5555555555555555 0.746268656716418 0.8412698412698415,dog
S013,0.10714285714285714 0.56 0.055555555555555594 0.04477611940298508 0.2063492063492064,
S014,0.625 0.64 0.6666666666666666 0.5223880597014926 0.7301587301587303,fox
S015,0.7857142857142857 0.92 0.7777777777777776 0.8656716417910448 0.8095238095238096,bird
S016,0.42857142857142855 0.36 0.3111111111111111 0.208955223880597 0.4126984126984127,
S017,0 0 0 0 0,
S018,0.9285714285714286 1 0.9444444444444444 1 1,cat
S019,0.16071428571428573 0.16 0.16666666666666666 0.13432835820895522 0.2698412698412699,
S020,0.75 0.88 0.8333333333333333 0.6716417910447762 0.8888888888888892,dog
